n,model,metric,tail_var,r,p,draws
10000,one_over_exposure,gini_total_loss,n_above_q99,-0.08894366727451923,0.7092254336532068,20
10000,one_over_exposure,gini_total_loss,max_claim,-0.08814956145335413,0.711714736320832,20
10000,one_over_exposure,gini_total_loss,top1_share,-0.07517450522916677,0.7527696681495252,20
10000,one_over_exposure,gini_total_loss,sample_loss_cost,-0.18451924010795479,0.43610678394884195,20
10000,one_over_exposure,gini_total_loss,cap_q995,-0.022780153099747506,0.9240542585176302,20
10000,one_over_exposure,tweedie_deviance_1.5,n_above_q99,-0.5766670579986285,0.007774830795673968,20
10000,one_over_exposure,tweedie_deviance_1.5,max_claim,-0.7486834324091498,0.0001460946326929669,20
10000,one_over_exposure,tweedie_deviance_1.5,top1_share,-0.7022556390977444,0.000556435286609183,20
10000,one_over_exposure,tweedie_deviance_1.5,sample_loss_cost,-0.8421052631578947,3.2174929874707044e-06,20
10000,one_over_exposure,tweedie_deviance_1.5,cap_q995,-0.5834586466165413,0.006922690881578287,20
10000,one_over_exposure,calibration_ratio,n_above_q99,0.6264457549042206,0.003123293444385073,20
10000,one_over_exposure,calibration_ratio,max_claim,0.911211695123096,2.3512343336765158e-08,20
10000,one_over_exposure,calibration_ratio,top1_share,0.8646616541353382,8.760838300464333e-07,20
10000,one_over_exposure,calibration_ratio,sample_loss_cost,1.0,0.0,20
10000,one_over_exposure,calibration_ratio,cap_q995,0.7398496240601502,0.00019241032720557428,20
10000,one_over_exposure,gini_exposure_weighted,n_above_q99,,,20
10000,one_over_exposure,gini_exposure_weighted,max_claim,,,20
10000,one_over_exposure,gini_exposure_weighted,top1_share,,,20
10000,one_over_exposure,gini_exposure_weighted,sample_loss_cost,,,20
10000,one_over_exposure,gini_exposure_weighted,cap_q995,,,20
10000,tabicl,gini_total_loss,n_above_q99,0.07734843673022773,0.7458429591475773,20
10000,tabicl,gini_total_loss,max_claim,0.12716331666044856,0.5931678646698181,20
10000,tabicl,gini_total_loss,top1_share,0.11879699248120301,0.6178918280262935,20
10000,tabicl,gini_total_loss,sample_loss_cost,0.02706766917293233,0.9098116651774512,20
10000,tabicl,gini_total_loss,cap_q995,-0.018045112781954885,0.9398091995407436,20
10000,tabicl,tweedie_deviance_1.5,n_above_q99,-0.5069768823307995,0.02252301205159926,20
10000,tabicl,tweedie_deviance_1.5,max_claim,-0.5334839734453137,0.015417183898334097,20
10000,tabicl,tweedie_deviance_1.5,top1_share,-0.4947368421052631,0.026578647405457147,20
10000,tabicl,tweedie_deviance_1.5,sample_loss_cost,-0.5639097744360902,0.00960697153757662,20
10000,tabicl,tweedie_deviance_1.5,cap_q995,-0.5323308270676691,0.015683125135695933,20
10000,tabicl,calibration_ratio,n_above_q99,0.7083891482718877,0.000473112412965757,20
10000,tabicl,calibration_ratio,max_claim,0.7614750086412659,9.6093101626727e-05,20
10000,tabicl,calibration_ratio,top1_share,0.6827067669172932,0.0009099086324726495,20
10000,tabicl,calibration_ratio,sample_loss_cost,0.9052631578947368,4.121873801744547e-08,20
10000,tabicl,calibration_ratio,cap_q995,0.813533834586466,1.2867962423531985e-05,20
10000,tabicl,gini_exposure_weighted,n_above_q99,-0.027569739824635627,0.9081454987443685,20
10000,tabicl,gini_exposure_weighted,max_claim,0.07750190305340948,0.7453546775346584,20
10000,tabicl,gini_exposure_weighted,top1_share,0.09624060150375939,0.6864870716570238,20
10000,tabicl,gini_exposure_weighted,sample_loss_cost,-0.012030075187969924,0.9598534442846784,20
10000,tabicl,gini_exposure_weighted,cap_q995,-0.0015037593984962405,0.9949797739432688,20
10000,xgb_hurdle,gini_total_loss,n_above_q99,0.11870304646718115,0.6181717798521247,20
10000,xgb_hurdle,gini_total_loss,max_claim,0.18434918687461477,0.4365372034768148,20
10000,xgb_hurdle,gini_total_loss,top1_share,0.16240601503759397,0.49391254436303184,20
10000,xgb_hurdle,gini_total_loss,sample_loss_cost,-0.0015037593984962405,0.9949797739432688,20
10000,xgb_hurdle,gini_total_loss,cap_q995,0.010526315789473682,0.9648685868194994,20
10000,xgb_hurdle,tweedie_deviance_1.5,n_above_q99,-0.44188166330040995,0.0510958749832629,20
10000,xgb_hurdle,tweedie_deviance_1.5,max_claim,-0.6124907678201487,0.0040940026689690835,20
10000,xgb_hurdle,tweedie_deviance_1.5,top1_share,-0.5548872180451127,0.011103504265934592,20
10000,xgb_hurdle,tweedie_deviance_1.5,sample_loss_cost,-0.5759398496240601,0.007870940177445083,20
10000,xgb_hurdle,tweedie_deviance_1.5,cap_q995,-0.3699248120300751,0.10840956155377549,20
10000,xgb_hurdle,calibration_ratio,n_above_q99,0.6417622770290181,0.002286224253820594,20
10000,xgb_hurdle,calibration_ratio,max_claim,0.5861551696952038,0.00660632943207142,20
10000,xgb_hurdle,calibration_ratio,top1_share,0.5007518796992482,0.024519268409476453,20
10000,xgb_hurdle,calibration_ratio,sample_loss_cost,0.8225563909774435,8.529183271703497e-06,20
10000,xgb_hurdle,calibration_ratio,cap_q995,0.6872180451127818,0.000814936942175972,20
10000,xgb_hurdle,gini_exposure_weighted,n_above_q99,-0.2810581809900354,0.2299912641948774,20
10000,xgb_hurdle,gini_exposure_weighted,max_claim,0.05944320719630436,0.80340672290501,20
10000,xgb_hurdle,gini_exposure_weighted,top1_share,0.11879699248120301,0.6178918280262935,20
10000,xgb_hurdle,gini_exposure_weighted,sample_loss_cost,-0.2300751879699248,0.3291382464700845,20
10000,xgb_hurdle,gini_exposure_weighted,cap_q995,-0.3488721804511278,0.13166317155695242,20
10000,xgb_tweedie,gini_total_loss,n_above_q99,0.12329800310462044,0.6045391546411301,20
10000,xgb_tweedie,gini_total_loss,max_claim,0.08728369664267474,0.7144321868497064,20
10000,xgb_tweedie,gini_total_loss,top1_share,0.07368421052631578,0.757528699864343,20
10000,xgb_tweedie,gini_total_loss,sample_loss_cost,-0.022556390977443608,0.9247982163788796,20
10000,xgb_tweedie,gini_total_loss,cap_q995,0.045112781954887216,0.8502061902084873,20
10000,xgb_tweedie,tweedie_deviance_1.5,n_above_q99,-0.3308368778956275,0.15422308779788096,20
10000,xgb_tweedie,tweedie_deviance_1.5,max_claim,-0.3792326129992075,0.09913762828817392,20
10000,xgb_tweedie,tweedie_deviance_1.5,top1_share,-0.33533834586466166,0.1483572986184929,20
10000,xgb_tweedie,tweedie_deviance_1.5,sample_loss_cost,-0.3443609022556391,0.13707258150434387,20
10000,xgb_tweedie,tweedie_deviance_1.5,cap_q995,-0.26165413533834586,0.26512410951035276,20
